ticket_id,created_at,first_response_at,resolved_at,status,channel,customer_id,order_id,product_sku,category,priority,assigned_team,agent_id,transfers,csat_score,refund_amount_inr,refund_reason_code,replacement_issued,customer_message,agent_notes,source_system
TK-240013,2024-07-17 22:06,2024-07-17 22:13,2024-07-17 16:58,resolved,chat,C101260,VR902051,VA-EB-PL1,Billing & Payments,High,Billing,A3033,,,,,N,"Dear Sir/Madam,

I am writing w/ reference to my order of the Pulse buds (VR902051) placed on 07-07-2024.  13 days since payment, u have no idea where it is and neither do I. I have called the courier. I request u to provide a resolution within 3 working days.

Sincerely,
Harpreet Chopra
Jaipur","issue: ord not delivered | confirmed address with cx -> crr confirmed delivery for 21 jul, cx informed //HAR",legacy_fd
TK-240015,2024-07-21 13:39,2024-07-21 13:41,2024-07-21 08:27,resolved,chat,C100686,VR887823,VA-EB-PL1,Billing & Payments,Normal,Billing,A3035,,,,,N,"dear team, this is regarding my pulse. paid but package not delivered even after 12 days. i checked the tracking page daily. honestly regretting this purchase. need this sorted this week. regards, nisha","Cust contacted re order not delivered. Confirmeed address with cx. RTO confirmed, reshipped. Case cloosed with cx consent.",legacy_fd
TK-240016,2024-07-24 00:00,2024-07-24 10:20,2024-07-29 05:26,resolved,email,C102443,VR910094,VA-EB-PL1,Billing & Payments,Normal,Billing,A3031,,3,,,N,"hello
payment successful but order not delivered",Re-shipped from warehouse. Issue: ord not delivered. Confirmed address w/ cx. Via Logistics. (SOP 3.1),legacy_fd
TK-240017,2024-07-27 12:51,2024-07-27 15:23,2024-08-01 10:16,resolved,email,C107190,VR884016,VA-NB-ARC,Billing & Payments,Normal,Billing,A3028,,,,,N,"hey
paid but package not delivered even after 11 days
arc neckband
anyone there",cx says dlvry delayed. conf address w/ cx. xfer to logistics. rfnd initiated as lost in transit.,legacy_fd
TK-240019,2024-07-29 08:08,2024-07-29 09:37,2024-07-29 04:27,resolved,chat,C109004,,VA-EB-PL1,Billing & Payments,Normal,Billing,A3035,,3,,,N,"hi
the amount got deducted & since then total silence, no update, nothing at my door
the pulse buds
kindly do the needful","Customer reached out - delivery delayed. Raised ticket wih courier partner. RTO confirmed, reshipped. Cx informed. (SOP 3.1)",legacy_fd
TK-240021,2024-07-30 12:42,2024-07-30 12:57,2024-07-30 08:09,resolved,chat,C100142,VR898430,VA-EB-PL1,Billing & Payments,High,Billing,A3028,,,,,N,"I bought Pulse earbuds on 19-07-2024. Paid but packgae not delivered even after 15 days.
I checked with neighbours. Nothing changed.
What do I do now?
Thankks in advance Reyansh","reported: delivery delayed. raised ticket w/ crr partner. xfer to logistics. crr conf delivery for 02 aug, cx informed.",legacy_fd
TK-240022,2024-08-01 17:42,2024-08-01 17:47,2024-08-03 12:42,resolved,chat,C105321,,VA-EB-PL1,Billing & Payments,High,Billing,A3029,,1,,,N,"deaar sir/madam,

i am writing with reference to my order of pulse earbuds placed on 22-07-2024. transaction done, where is my stuff. i hvae checked wiht neighbours. i request you to kindly arrange a replacement.

sincerely,
ramesh sidddiqui",payment ok. shipment issue. -> logistics cx: delivery delayed | checked awb with courier -> refund initiated as lost in transit | xfer logistics,legacy_fd
TK-240023,2024-08-07 11:53,2024-08-07 12:02,2024-08-07 06:57,resolved,chat,C101361,,VA-EB-PL1,Billing & Payments,High,Billing,A3035,,,,,N,"hello
i haven't received my order, payment was done on 31 jul
anyone there","cx: delivery delayed | checked awb with courier -> rto confirmed, reshipped (SOP 2.7)",legacy_fd
TK-240024,2024-08-07 13:24,2024-08-07 18:27,2024-08-12 13:17,resolved,social,C104675,,VA-SP-ORB,Billing & Payments,High,Billing,A3031,,,,,N,"hii
order not delivered, tracking not updating
orbit speaaker","Not a biling issue - dlvry query, transferring to logistics. rfnd initiated as lost in transit. Issue: shipment not received. Raised ticket w/ courier partner. Via Logistics. (SOP 4.2) [closed]",legacy_fd
TK-240025,2024-08-07 21:11,2024-08-07 21:28,2024-08-10 16:17,resolved,chat,C106958,VR893204,VA-EB-PL1,Billing & Payments,High,Billing,A3033,,,,,N,"hi
paid on 01 aug, still waiting for something to show up
pulse 1",rfnd initiated as lost in transit. Issue: delivery delayed. Confirmed address w/ cx. //HAR,legacy_fd
TK-240026,2024-08-07 21:16,2024-08-07 21:20,2024-08-07 16:08,resolved,chat,C103662,VR900171,VA-SP-ORB,Billing & Payments,Normal,Billing,A3029,,,,,N,"pathtic experience honestly.  order vr900171 (the orbit smart speaker). order not delivered, tracking not updating. i already checked with neighbours. escalate this to someone senior.","Not a billing issue - delivery query, transferring to logistics. re: delivery delayed | raised ticket with courier partner -> courier confirmed delivery for 09 aug, cx informed | xfer logistics",legacy_fd
TK-240028,2024-08-07 22:26,2024-08-07 23:49,2024-08-09 17:41,resolved,chat,C107501,,VA-NB-ARC,Billing & Payments,High,Billing,A3030,,3,1234,LOST-TRANSIT,N,"dear sir/madam,

i am writing with reference to my order of my arc placed on 30 jul. my order has not been delivered yet. i have checked with neighbours. i request you to provide a resolution within 3 working days.

sincerely,
suresh mukherjee",Customer reached out - ord not delivered. Raised ticket w/ courier partner. Transferred to Logistics. rfnd of Rs 1234 initiated to source. Closing. (SOP 3.1),legacy_fd
TK-240029,2024-08-09 11:44,2024-08-09 11:47,2024-08-09 06:38,resolved,chat,C106175,VR897285,VA-AC-CBL,Billing & Payments,Low,Billing,A3032,,4,,,N,"product: the cable
order: vr897285
purchased: 01/08
issue: order not delivered, tracking not updating
tried: checked with neighbours
expected: resolution",see prev,legacy_fd
TK-240031,2024-08-09 22:40,2024-08-10 00:02,2024-08-11 17:41,resolved,chat,C108183,,VA-EB-PL1,Billing & Payments,Normal,Billing,A3034,,,,,N,"teh payment went thorugh on the first try, the order has not gone through my fronnt door yet - i watn my money bcak","courier confirmed dlvry for 13 aug, cx informed. issue: shipment not received. raised ticket with courier partner. ~Megha",legacy_fd
TK-240032,2024-08-10 21:04,2024-08-10 23:46,2024-08-11 18:45,resolved,email,C105598,VR898640,VA-EB-PL1,Billing & Payments,Normal,Billing,A3027,,,,,N,"hey
your site toook the money happily, the box never came",Contact re dlvry delayed. conf address w/ cx. xfer to Logistics. Re-shipped from warehouse.,legacy_fd
TK-240033,2024-08-14 18:24,2024-08-14 19:15,2024-08-16 13:31,resolved,chat,C101053,VR893017,VA-SW-FIT,Billing & Payments,Normal,Billing,A3027,,3,,,N,"paid, confirmed, then nothing. 6 days and counting - need this sorted this week","cx paid fine, parcel stuck. sending to logistics team. Cx reported ord not delivered. Raised ticket w/ courier partner. xfer to Logistics. Re-shipped from warehouse.",legacy_fd
TK-240034,2024-08-20 17:55,2024-08-20 20:58,2024-08-21 15:58,resolved,social,C101726,,VA-EB-PL1,Billing & Payments,High,Billing,A3035,,3,,,N,"Product: Pulse earbuds
Order: VR883831
Purchased: 09-08-2024
Issue: order not delivered, tracking not updating
Tried: checked the tracking page daily
Expected: refund","Ticket raised for shipment not received. Raised ticket with courier partner. RTO confirmed, reshipped. Closing. (SOP 3.1)",legacy_fd
TK-240035,2024-08-20 20:15,2024-08-20 20:56,2024-08-23 16:09,resolved,email,C102711,,VA-EB-PL1,Billing & Payments,High,Billing,A3027,,,,,N,"hi there, got the pulse buds from vireo.in in august. my order has not bene delivered yet. kindly look into it. please revert kavya","cx reached out - ord not delivered. conf address w/ cx. xfer to Logistics. RTO conf, reshipped. (SOP 4.2)",legacy_fd
TK-240036,2024-08-22 14:02,2024-08-22 14:02,2024-08-27 09:00,resolved,chat,C100009,VR888377,VA-SW-FIT,Billing & Payments,High,Billing,A3027,,,,,N,"hello
transaction done, where is my stuff
anyone there","Not a billing issue - dlvry query, transferring to logistics. Cx says dlvry delayed. conf address w/ cx. xfer to Logistics. rfnd initiated as lost in transit. (SOP 2.7)",legacy_fd
TK-240038,2024-08-28 09:56,2024-08-28 10:18,2024-08-31 05:21,resolved,chat,C102311,VR890924,VA-EB-PL1,Billing & Payments,High,Billing,A3030,,,,,N,"product: the pulse buds
order: vr890924
purchased: 24 aug
issue: i haven't received my order, payment was done on 24/08
tried: called the couriier
expected: fix","cx paid fine, parcel stuck. sending to logistics team. Cx reported shipment not rcvd. Raised ticket with crr partner. Transferred to Logistics. RTO confirmed, reshipped. Case closed with cx consent. ~Imran",legacy_fd
TK-240039,2024-09-01 15:35,2024-09-01 16:41,2024-09-01 11:31,resolved,chat,C103668,VR901284,VA-SW-FIT,Billing & Payments,High,Billing,A3033,,3,,,N,"Really frustrating. Got my Nexa Fit bad from vireo.in recently. teh amount got deducted and since then total silence, no update, nothing at my door. I already checked with neighbours. This is the last tme I buy froom you.","re: ord not delivered | raised ticket with courier partner -> coourier conf delivery for 02 sep, cx informed //HAR",legacy_fd
TK-240041,2024-09-04 14:11,2024-09-04 15:32,2024-09-05 10:43,resolved,email,C104101,VR894720,VA-EB-PL1,Billing & Payments,Low,Billing,A3029,,4,,,N,"Dear Sir/Madam,

I am writing with reference to my order of the Pulse buds (VR894720) plaed on 21/08. Order not delivered, tracking not updating. I have checked the tracking page daily. I request you to kindly arrange a replacement.

Yours faithfully,
Riya Ansari
Jaipur","Not a billing issue - delivery query, transferring to logistics. re: shipment not received | checked awb with courier -> re-shipped from warehouse | xfer logistics",legacy_fd
TK-240042,2024-09-08 15:30,2024-09-08 15:56,2024-09-08 10:36,resolved,chat,C107267,VR907071,VA-EB-PL1,Billing & Payments,High,Billing,A3028,,,,,N,"Hi Vireo support, Thsi is regarding my Pulse.  Order not delivered, tracking not updating. I called the courier. I want my money back. Regards",refund initiated as lost in transit. issue: dlvry delayed. raised ticket w/ courier partner. via logistics.,legacy_fd
TK-240043,2024-09-09 22:38,2024-09-09 22:40,2024-09-11 17:44,resolved,chat,C104054,VR900636,VA-EB-PL1,Billing & Payments,Normal,Billing,A3034,,,,,N,"hi sir
paymet done, oredr status has not movd since 01 sep
kal se
the pluse buds
pls reply","rto confirmed, reshipped. issue: dlvry delayed. confirmed address w/ cx. ~Megha",legacy_fd
TK-240044,2024-09-10 13:39,2024-09-10 13:40,2024-09-13 08:36,resolved,chat,C106566,,VA-SP-ORB,Billing & Payments,High,Billing,A3031,,,,,N,"hi
transaction done, where is my stuff","cx paid fine, parcel stuck. sending to logistics team. Courier conf dlvry for 11 Sep, cx informed. Issue: order not delivered. Checked AWB w/ courier. Via Logistics. [closed]",legacy_fd
TK-240045,2024-09-10 20:45,2024-09-10 21:14,2024-09-15 16:25,closed,social,C103555,VR892921,VA-HP-ST2,Billing & Payments,Normal,Billing,A3030,,2,,,N,"to the vireo customer care team,

i am writing with reference to my order of strata 2 (vr892921) placed on 02-09-2024. transaction done, where is my stuff. i have called the courier. i request you to kinly arrange a replacement.

regards,
mohammed chatterjee
kochi","Ticket raised for order not delivered. Raised ticket with courier partner. Transferred to Logistics. RTO conf, reshipped. Cx satisfied on chat. (SOP 2.7) ~Imran",legacy_fd
TK-240047,2024-09-11 22:21,2024-09-11 22:30,2024-09-11 17:35,resolved,chat,C106234,VR909286,VA-NB-ARC,Billing & Payments,Normal,Billing,A3027,,,,,N,Not what I expected from Vireo.  Order VR909286 (my Arc). money went out of my account 7 days ago and I have nothing in hand. I already called the courier. Fix this or I am posting on twitter,cx reached out - shipment not rcvd. Raised ticket with crr partner. xfer to Logistics. Re-shipped from warehouse.,legacy_fd
TK-240048,2024-09-12 21:49,2024-09-12 22:39,2024-09-12 17:29,resolved,chat,C103951,,VA-SW-NX1,Billing & Payments,High,Billing,A3030,,2,,,N,"Product: Nexa watch
Purchased: 01/09
Issue: my order has not been delivered yet
Tried: checked with neighbours
Expected: fix","payment ok. shipment issue. -> logistics Contact re shipment not rcvd. Raised ticket w/ courier partner. Transferred to Logistics. RTO conf, reshipped. Case closed w/ cx consent. (SOP 2.7) ~Imran",legacy_fd
TK-240049,2024-09-13 11:27,2024-09-13 11:43,2024-09-15 06:45,resolved,chat,C103350,VR896211,VA-EB-PL1,Billing & Payments,High,Billing,A3029,,2,,,N,"This is very disappointing. Got Pulse earbuds from Amazon last week. 12 days since payment, u have no idea where it is & neither do I. I already chcked w/ neighbours. Fix this or I am posting on twitter","payment confirmed on PG, this is a delivery delay. xfer logistics. delivery delayed | confirmed address with cx -> re-shipped from warehouse | xfer logistics",legacy_fd
TK-240050,2024-09-14 13:35,2024-09-14 14:27,2024-09-19 09:30,resolved,social,C107897,,VA-EB-PL1,Billing & Payments,High,Billing,A3030,,,,,N,"hi
rs debited on 02/09, still empty handed
the pulse buds","Bot tagged as billing, actually shipment issue. Moved to Logistics. re: shipment not rcvd | chk awb w/ courier -> re-shipped from warehouse | xfer logistics (SOP 3.1) ~Imran",legacy_fd
TK-240051,2024-09-14 16:24,2024-09-14 16:25,2024-09-19 11:26,resolved,chat,C103530,VR880379,VA-EB-PL1,Billing & Payments,High,Billing,A3035,,2,,,N,"Product: the Pulse buds
Order: VR880379
Purchased: 01 Sep
Issue: I haven't received my order, payment was done on 01/09
Tried: checked the tracking page dailly
Expected: callback","Reported: delivery delayed. Confirmed address with cx. RTO confirmed, reshipped. Cx informed.",legacy_fd
TK-240052,2024-09-15 18:17,2024-09-15 18:25,2024-09-16 13:15,resolved,chat,C107673,VR895233,VA-SW-FIT,Billing & Payments,High,Billing,A3028,,,1999,LOST-TRANSIT,N,"Pathetic experience honestly. Nexa Fit purchased last month, order VR895233. paid but package not delivered even after 15 days. I already checked with neighbours. Escalate this to someone senior.","misrouted - dlvry. xfer. cx states dlvry delayed. conf address w/ cx. xfer to logistics. rfnd approved, rs 1999, 5-7 workng days.",legacy_fd
TK-240054,2024-09-17 13:53,2024-09-17 15:02,2024-09-22 09:10,resolved,chat,C100144,,VA-EB-AIR,Billing & Payments,Normal,Billing,A3030,,,,,N,"helol
paid via upi on 11 sep. 8 days. nothing.
hello??","cx paid fine, parcel stuck. sending to logistics team. Reported: shipment not received. Confirmed address with cx. Transferred to Logistics. crr confirmed delivery for 18 Sep, cx informed. Will monitor. (SOP 2.7) ~Imran",legacy_fd
TK-240055,2024-09-17 20:47,2024-09-17 20:51,2024-09-17 15:49,resolved,chat,C105983,,VA-HP-ST2,Billing & Payments,Normal,Billing,A3033,,3,,,N,"i haven't received my order, payment was done on 10/09","dlvry delayed | conf address with cx -> courier conf dvlry for 22 sep, cx informed",legacy_fd
TK-240056,2024-09-18 19:04,2024-09-18 19:33,2024-09-23 14:27,resolved,chat,C100270,VR884580,VA-AC-CBL,Billing & Payments,High,Billing,A3029,,,,,N,"hi,
tihs is regarding braided cable. rs debited on 07/09, still empty handed.
i called the courier.
please resolve asap.
thank you, karan mukherjee","order not delivered | raised ticket with courier partner -> courier confirmed delivery for 24 sep, cx informed | xfer logistics",legacy_fd
TK-240057,2024-09-18 22:59,2024-09-18 23:19,2024-09-20 18:06,closed,chat,C106836,VR890594,VA-HP-ST2,Billing & Payments,High,Billing,A3035,,,900,LOST-TRANSIT,N,"product: my strata 2 headphones
order: vr890594
purchased: 08-09-2024
issue: paid but package not delivered even after 5 days
tried: checked the tracking page daily
expected: refund",Customer states shipmennt not recieved. Checked AWB with courier. Re-shipped from warehouse. Follow-up not required. (SOP 3.1),legacy_fd
TK-240059,2024-09-20 09:13,2024-09-20 09:57,2024-09-21 04:29,resolved,chat,C107790,VR891547,VA-EB-AIR,Billing & Payments,Normal,Billing,A3031,,1,,,N,"paid, confirmed, then nothing. 6 days and counting, VR891547","Bot tagged as billing, actually shipment issue. Moved to Logistics. Reported: order not delivered. Raised ticket with crr partner. xfer to Logistics. rfnd initiated as lost in transit. [closed]",legacy_fd
TK-240060,2024-09-20 13:51,2024-09-20 13:52,2024-09-22 08:59,closed,chat,C101795,VR906647,VA-EB-AIR,Billing & Payments,High,Billing,A3028,,,,,N,"product: the airlite buds
order: vr906647
purchased: 10/09
issue: paid but package not delivered even after 11 days
tried: called the courier
expected: refund","payment ok. shipment issue. -> logistics courier confirmed dlvry for 25 sep, cx informed. issue: dlvry delayed. raised ticket w/ courier partner. via logistics.",legacy_fd
TK-240061,2024-09-21 15:29,2024-09-21 19:06,2024-09-21 14:14,resolved,email,C100879,VR897261,VA-SW-FIT,Billing & Payments,Low,Billing,A3033,,2,,,N,"pathetic experience honestly. teh fit band purchased last month, order vr897261. i haven't received my order, payment was done on 07 sep. i already checked the tracking page daily. escalate thiis to someone senior.",shipment not rcvd | raised ticket w/ crr partner -> re-shipped from warehouse //HAR,legacy_fd
TK-240063,2024-09-24 19:27,2024-09-24 19:30,2024-09-24 14:41,resolved,chat,C101625,VR891850,VA-EB-AIR,Billing & Payments,High,Billing,A3030,,,,,N,"honestly regretting this purchase.  bought the airlite buds around september 12 from vireo.in. order not delivered, tracking not updating. i already checked the tracking page daily. this is the lats time i buy from you.","Cx reported shipment not rcvd. Raised ticket with courier partner. xfer to Logistics. Courier conf delivery for 28 Sep, cx informed. Closing. (SOP 5.4) ~Imran",legacy_fd
TK-240064,2024-09-25 18:50,2024-09-26 07:23,2024-09-27 02:24,resolved,email,C108286,,VA-EB-PL1,Billing & Payments,High,Billing,A3034,,,300,LOST-TRANSIT,N,"this is very disappointing. bought pulse earbuds around 12 sep from flipkart. i haven't received my order, payment was done on 12 sep. i already checked the tarcking page daily. fix this or i am posting on twitter",refund initiated as lost in transit. issue: delivery delayed. checked awb w/ crr. ~Megha,legacy_fd
TK-240065,2024-09-26 10:51,2024-09-26 13:14,2024-09-27 08:19,resolved,email,C101889,,VA-SP-ORB,Billing & Payments,High,Billing,A3034,,,,,N,"Product: the Orbit smart speaker
Purchased: September 20
Issue: paid, confirmed, then nothing.  6 days and counting
Tried: checked the tracking page daily
Expected: resolution",- ~Megha,legacy_fd
TK-240066,2024-09-27 10:23,2024-09-27 10:44,,open,email,C101004,VR895157,VA-EB-PL1,Billing & Payments,High,Billing,A3028,,,,,N,"payment successful but order not delivered, vr895157","ticket raised for ord not delivered. checked awb with crr. xfer to logistics. crr conf dlvry for 01 oct, cx informed.",legacy_fd
TK-240067,2024-09-27 18:42,2024-09-27 19:25,2024-09-27 14:37,resolved,email,C100198,VR897643,VA-AC-CBL,Billing & Payments,High,Billing,A3029,,,,,N,"hi
my order has not been delivered yet
urgent","payment confirmed on PG, this is a delivery delay. xfer logistics. order not delivered | raised ticket with courier partner -> courier confirmed delivery for 28 sep, cx informed | xfer logistics",legacy_fd
TK-240069,2024-09-27 22:39,2024-09-27 23:10,2024-10-02 18:14,resolved,email,C108869,VR898709,VA-EB-AIR,Billing & Payments,Normal,Billing,A3030,,,,,N,"Dear Sir/Madam,

I am writing with reference to my order of AirLite (VR898709) placed on 18-09-2024. Order not delivered, tracking not updating. I have called the courier. I request you to kindly arrange a replacement.

Yours faithfully,
Kavya Patel
Jaipur","payment confirmed on PG, this is a delivery delay. xfer logistics. Cx reported ord not delivered. Raised ticket with crr partner. xfer to Logistics. Refund initiated as lost in transit. Follow-up not required.",legacy_fd
TK-240070,2024-09-30 11:56,2024-09-30 12:01,,open,chat,C103774,VR903173,VA-EB-PL1,Billing & Payments,High,Billing,A3030,,,,,N,"I haven't received my order, payment was done on 21 Sep","cx paid fine, parcel stuck. sending to logistics team. cx: dlvry delayed | raised ticket w/ courier partner -> re-shipped from warehouse | xfer logistics",legacy_fd
TK-240072,2024-10-06 15:41,2024-10-06 19:00,2024-10-08 13:46,resolved,email,C102012,VR885669,VA-SP-ORB,Billing & Payments,Normal,Billing,A3035,,,5699,LOST-TRANSIT,N,ordered orbit speaker recently. my order has not been delivered yet. i checked the tracking page daily. nothing changed. please advise.,Customer reached out - oredr not delivered. Raised ticket with coureir partner. Full refund processed (5699). Case closed with cx consent. (SOP 4.2),legacy_fd
TK-240073,2024-10-06 21:43,2024-10-06 22:45,2024-10-06 17:35,resolved,chat,C102985,,VA-EB-PL1,Billing & Payments,High,Billing,A3031,,,,,N,"Honestly regretting this purchase. Bought my Pulse around 30-09-2024 from vireo.in. transaction done, where is my stuff. I already checked with neighbours. Refund. Now","RTO confirmed, reshipped. Issue: delivery delayed. Confirmed adress w/ cx. Via Logistics. (SOP 4.2) [closed]",legacy_fd
TK-240075,2024-10-07 19:07,2024-10-07 20:02,2024-10-07 15:11,resolved,email,C105586,,VA-AC-CH65,Billing & Payments,High,Billing,A3030,,,,,N,"hii
11 days since payment, you have no idea where it is and neither do i
your charger",Reported: ord not delivered. Checked AWB w/ courier. xfer to Logistics. rfnd initiated as lost in transit. Follow-up not required. ~Imran,legacy_fd
TK-240076,2024-10-08 10:55,2024-10-08 12:23,2024-10-08 07:13,resolved,chat,C100216,,VA-SP-ORB,Billing & Payments,Normal,Billing,A3028,,,,,N,"Product: my Orbit
Purchased: 03 Oct
Issue: I haven't received my order, payment was done on 03/10
Tried: called the courier
Expected: fix","cust contacted re ord not delivered. raised ticket with crr partner. xfer to logistics. rto conf, reshipped.",legacy_fd
TK-240077,2024-10-08 12:51,2024-10-08 14:20,2024-10-08 09:10,closed,chat,C106359,VR902508,VA-SP-ORB,Billing & Payments,Low,Billing,A3027,,,,,N,"Hi there, Ordered the Orbit smart speaker 3 weeks back. I haven't received my order, payment was done on 24/09. I checked with neighbours. Nothing changed. Pathetic experience honestly. Waiting for your reply. Regards Payal",rslvd on call (SOP 5.4),legacy_fd
TK-240079,2024-10-09 09:38,2024-10-09 10:01,2024-10-10 05:09,closed,social,C101967,VR887472,VA-EB-AIR,Billing & Payments,High,Billing,A3031,,3,,,N,"the amount got deducted and since then total silence, no update, nothing at my door, VR887472",misrouted - dlvry. xfer. Re-shipped from warehouse. Issue: dlvry delayed. conf address with cx. Via Logistics. [closed],legacy_fd
TK-240080,2024-10-10 12:04,2024-10-10 18:32,2024-10-11 13:33,closed,email,C101342,,VA-SW-NX1,Billing & Payments,High,Billing,A3034,,,,,N,"hey
order not delivered, tracking not updating
pls reply","courier confirmed dlvry for 11 oct, cx informed. issue: dlvry delayed. confirmed address w/ cx. ~Megha",legacy_fd
TK-240082,2024-10-11 08:00,2024-10-11 08:32,2024-10-11 03:37,resolved,social,C104027,VR885398,VA-SW-FIT,Billing & Payments,Normal,Billing,A3031,,2,1999,LOST-TRANSIT,N,"I have been a loyal customer and this is how you treat me.  This is regarding the fit band. order not delivered, tracking not updating. I already checked the tracking page daily. This is the last time I buy from you.","Not a billing issue - delivery query, transferring to logistics. Full refund processed (1999). Issue: order not delivered. chk AWB w/ crr. Via Logistics. [closed]",legacy_fd
TK-240083,2024-10-11 12:40,2024-10-11 12:42,2024-10-11 08:00,resolved,chat,C102113,,VA-EB-PL1,Billing & Payments,Normal,Billing,A3029,,,,,N,"hello
payment successful but order not delivered
pulse earbuds",misrouted - delivery. xfer. cx ok,legacy_fd
TK-240084,2024-10-11 19:40,2024-10-11 19:44,2024-10-12 14:51,resolved,chat,C105401,VR904924,VA-EB-PL1,Billing & Payments,High,Billing,A3027,,,,,N,"Honestly regretting this purchase. Bought the Pulse buds around 03-10-2024 form vireo.in. 5 days since payment, you havve no idea where it is and neither do I. I arleady checked with neighbours. I want a replacement or refund, nothing else.","misrouted - dlvry. xfer. Cust contacted re ord not delivered. chk AWB with crr. xfer to Logistics. RTO confirmed, reshipped.",legacy_fd
TK-240085,2024-10-13 15:19,2024-10-13 15:57,2024-10-15 11:09,closed,social,C103247,VR882257,VA-SW-NX1,Billing & Payments,High,Billing,A3033,,,,,N,"hi sir
i haven't reeceived my order, payment was done on 09 oct
itna paisa diya hai
the nexa smartwatch VR882257","re: delivery delayed | confirmed address w/ cx -> rto confirmed, reshipped",legacy_fd
